#WAVELENGTH FLUX
1.402895103131188080e+03 -2.367533146833093699e-17
1.402974829838145524e+03 -4.534914103950251961e-17
1.403054556544870138e+03 -4.325973823329461275e-17
1.403134283251594752e+03 3.924667273226451782e-17
1.403214009958552197e+03 -2.046771447721057031e-17
1.403293736665509641e+03 -1.732498525565161961e-17
1.403373463372234255e+03 -1.785004848922731084e-17
1.403453190079191700e+03 6.096470007026073509e-19
1.403532916785916314e+03 -1.916429703468932524e-17
1.403612643492873758e+03 -1.817080017945393561e-17
1.403692370199598372e+03 4.830601601231060584e-18
1.403772096906555817e+03 -3.546792764643599435e-17
1.403851823613513261e+03 2.942348978148134394e-17
1.403931550320237875e+03 3.028495124016040674e-17
1.404011277026962489e+03 5.166932204319355945e-17
1.404091003733919933e+03 9.469313471730794159e-17
1.404170730440877378e+03 3.186061822410092353e-17
1.404250457147601992e+03 8.752709081333905766e-18
1.404330183854559436e+03 7.067063058280482357e-18
1.404409910561284050e+03 -1.506898496535308277e-17
1.404489637268241495e+03 -1.769916371446243189e-17
1.404569363974966109e+03 1.065250637471302017e-18
1.404649090681923553e+03 4.081216043158695705e-17
1.404728817388648167e+03 -4.432840223156361484e-18
1.404808544095372781e+03 -2.824674967309861347e-18
1.404888270802330226e+03 -2.552737438417644627e-17
1.404967997509054840e+03 -2.681514735977247592e-17
1.405047724216012284e+03 -3.716880247815682528e-18
1.405127450922969729e+03 -6.096562651254679448e-18
1.405207177629694343e+03 -4.964168729486682483e-17
1.405286904336418957e+03 -3.025209976213286325e-17
1.405366631043376401e+03 -6.891402569808415123e-18
1.405446357750333846e+03 -6.420413373646234142e-18
1.405526084457058460e+03 1.706170276566272898e-17
1.405605811164015904e+03 8.499160025612926617e-17
1.405685537870740518e+03 4.325881013664732826e-17
1.405765264577697963e+03 -2.527077055045330879e-17
1.405844991284422576e+03 -2.703800925553865657e-17
1.405924717991380021e+03 -2.785894175933476495e-17
1.406004444698337466e+03 1.497223998886041203e-17
1.406084171405062079e+03 3.445620800230606152e-17
1.406163898111786693e+03 3.695704300057233136e-17
1.406243624818744138e+03 -4.342940703899965213e-17
1.406323351525701582e+03 -2.898473953610311094e-19
1.406403078232426196e+03 -2.375746843520592125e-17
1.406482804939383641e+03 -2.396089324093833086e-17
1.406562531646108255e+03 -2.395708821012058693e-17
1.406642258353065699e+03 -2.253041423888404032e-17
1.406721985059790313e+03 -3.668579103897179859e-18
1.406801711766514927e+03 -2.613951492083559472e-17
1.406881438473472372e+03 3.906767870592386188e-17
1.406961165180196986e+03 1.556898297200719215e-17
1.407040891887154430e+03 -2.406650848872971399e-17
1.407120618593879044e+03 -4.355351556374588330e-17
1.407200345300836489e+03 -4.577445084069768474e-17
1.407280072007793933e+03 -2.390757731455622546e-17
1.407359798714518547e+03 1.871376732379803085e-17
1.407439525421243161e+03 -2.162810660155710901e-17
1.407519252128200606e+03 6.608800366714674728e-17
1.407598978835158050e+03 4.624882155120398250e-17
1.407678705541882664e+03 -1.703100237081812963e-17
1.407758432248840109e+03 -3.332263307341849197e-17
1.407838158955564722e+03 1.119333649794458466e-17
1.407917885662522167e+03 1.286574184093287175e-17
1.407997612369246781e+03 1.241368432745019192e-17
1.408077339076204225e+03 -6.586089378534480055e-18
1.408157065783161670e+03 1.774417371351873920e-17
1.408236792489886284e+03 -6.894942282444682667e-18
1.408316519196610898e+03 1.508445655153027460e-17
1.408396245903568342e+03 1.488188167387726322e-17
1.408475972610525787e+03 -3.228107785177438398e-17
1.408555699317250401e+03 1.005479476306894045e-17
1.408635426024207845e+03 -3.477353723274824814e-17
1.408715152730932459e+03 -3.351181052028028823e-17
1.408794879437657073e+03 -3.363652991790888981e-17
1.408874606144614518e+03 -3.311697488003218919e-17
1.408954332851339132e+03 6.911862055079301710e-18
1.409034059558296576e+03 6.980596007693936130e-17
1.409113786265021190e+03 1.810592895350477069e-18
1.409193512971978635e+03 -2.216104542174491762e-17
1.409273239678703249e+03 -1.998434528241061444e-17
1.409352966385660693e+03 1.367887072283015487e-18
1.409432693092618138e+03 -1.876485730715175605e-17
1.409512419799342752e+03 2.473438693660452310e-17
1.409592146506067365e+03 -1.794191227292530615e-17
